id,recommendation
1,RecommendedItem[item:1500, value:5.9178734]
1,RecommendedItem[item:1642, value:5.3960385]
1,RecommendedItem[item:1656, value:5.3458047]
1,RecommendedItem[item:1367, value:5.2517986]
1,RecommendedItem[item:1449, value:5.2109566]
1,RecommendedItem[item:1467, value:5.095264]
1,RecommendedItem[item:1398, value:5.076799]
1,RecommendedItem[item:1368, value:4.9464736]
1,RecommendedItem[item:1643, value:4.9361706]
1,RecommendedItem[item:1639, value:4.8542066]
2,RecommendedItem[item:1500, value:5.3256197]
2,RecommendedItem[item:1467, value:5.197197]
2,RecommendedItem[item:1449, value:5.111604]
2,RecommendedItem[item:1398, value:5.0575905]
2,RecommendedItem[item:1642, value:5.0265546]
2,RecommendedItem[item:1639, value:4.9136143]
2,RecommendedItem[item:1367, value:4.863419]
2,RecommendedItem[item:1080, value:4.825068]
2,RecommendedItem[item:1189, value:4.8001194]
2,RecommendedItem[item:1450, value:4.7351356]
3,RecommendedItem[item:1500, value:5.0]
3,RecommendedItem[item:1449, value:4.556421]
3,RecommendedItem[item:1450, value:4.5]
3,RecommendedItem[item:1398, value:4.0942326]
3,RecommendedItem[item:867, value:4.0713377]
3,RecommendedItem[item:1080, value:4.0339065]
3,RecommendedItem[item:851, value:4.0106645]
3,RecommendedItem[item:1463, value:3.981801]
3,RecommendedItem[item:1629, value:3.9781857]
3,RecommendedItem[item:1646, value:3.9157362]
4,RecommendedItem[item:1642, value:6.5]
4,RecommendedItem[item:1463, value:5.998848]
4,RecommendedItem[item:1293, value:5.963737]
4,RecommendedItem[item:1500, value:5.9061637]
4,RecommendedItem[item:868, value:5.7319064]
4,RecommendedItem[item:1080, value:5.6102405]
4,RecommendedItem[item:1612, value:5.601659]
4,RecommendedItem[item:1367, value:5.5419807]
4,RecommendedItem[item:1368, value:5.5068617]
4,RecommendedItem[item:1449, value:5.4266963]
5,RecommendedItem[item:1080, value:5.232233]
5,RecommendedItem[item:1500, value:5.220901]
5,RecommendedItem[item:1367, value:5.2018523]
5,RecommendedItem[item:1233, value:4.790992]
5,RecommendedItem[item:1449, value:4.7302966]
5,RecommendedItem[item:1639, value:4.616135]
5,RecommendedItem[item:1158, value:4.5970845]
5,RecommendedItem[item:1251, value:4.583484]
5,RecommendedItem[item:1467, value:4.544652]
5,RecommendedItem[item:1368, value:4.5242796]
6,RecommendedItem[item:1500, value:5.2808075]
6,RecommendedItem[item:1449, value:4.739845]
6,RecommendedItem[item:1642, value:4.7349677]
6,RecommendedItem[item:1367, value:4.478059]
6,RecommendedItem[item:1398, value:4.46163]
6,RecommendedItem[item:1467, value:4.4061656]
6,RecommendedItem[item:1064, value:4.3983965]
6,RecommendedItem[item:1639, value:4.3441386]
6,RecommendedItem[item:1368, value:4.291961]
6,RecommendedItem[item:114, value:4.280257]
7,RecommendedItem[item:1500, value:5.760697]
7,RecommendedItem[item:1467, value:5.555532]
7,RecommendedItem[item:1449, value:5.3225393]
7,RecommendedItem[item:1367, value:5.310331]
7,RecommendedItem[item:1643, value:5.2674007]
7,RecommendedItem[item:1398, value:5.2380867]
7,RecommendedItem[item:1642, value:5.230532]
7,RecommendedItem[item:114, value:5.002596]
7,RecommendedItem[item:1368, value:4.970419]
7,RecommendedItem[item:1629, value:4.9519267]
8,RecommendedItem[item:1500, value:5.8467546]
8,RecommendedItem[item:1367, value:5.710745]
8,RecommendedItem[item:1398, value:5.636393]
8,RecommendedItem[item:1642, value:5.5857863]
8,RecommendedItem[item:1449, value:5.532405]
8,RecommendedItem[item:1467, value:5.503608]
8,RecommendedItem[item:1396, value:5.2311153]
8,RecommendedItem[item:1643, value:5.122874]
8,RecommendedItem[item:1368, value:5.0870347]
8,RecommendedItem[item:1064, value:5.0753818]
9,RecommendedItem[item:1500, value:6.8786798]
9,RecommendedItem[item:1367, value:5.7904444]
9,RecommendedItem[item:1293, value:5.71253]
9,RecommendedItem[item:1656, value:5.5]
9,RecommendedItem[item:868, value:5.371903]
9,RecommendedItem[item:1449, value:5.2234755]
9,RecommendedItem[item:1398, value:5.1277394]
9,RecommendedItem[item:1368, value:5.1270556]
9,RecommendedItem[item:1612, value:5.1254277]
9,RecommendedItem[item:851, value:5.1110983]
10,RecommendedItem[item:1500, value:5.5527134]
10,RecommendedItem[item:1467, value:5.244371]
10,RecommendedItem[item:1642, value:5.2411156]
10,RecommendedItem[item:1449, value:5.14279]
10,RecommendedItem[item:1643, value:5.1379385]
10,RecommendedItem[item:1367, value:5.0967665]
10,RecommendedItem[item:1191, value:5.0857863]
10,RecommendedItem[item:1293, value:5.0828576]
10,RecommendedItem[item:1398, value:5.035496]
10,RecommendedItem[item:1368, value:4.9706182]
11,RecommendedItem[item:1293, value:5.143165]
11,RecommendedItem[item:1656, value:5.0224075]
11,RecommendedItem[item:1612, value:4.9617915]
11,RecommendedItem[item:1662, value:4.9503527]
11,RecommendedItem[item:1500, value:4.849779]
11,RecommendedItem[item:1398, value:4.7456903]
11,RecommendedItem[item:1467, value:4.704927]
11,RecommendedItem[item:1642, value:4.702884]
11,RecommendedItem[item:1449, value:4.694317]
11,RecommendedItem[item:1643, value:4.6925564]
12,RecommendedItem[item:1642, value:5.6983447]
12,RecommendedItem[item:1293, value:5.644212]
12,RecommendedItem[item:1500, value:5.6330104]
12,RecommendedItem[item:1398, value:5.4889374]
12,RecommendedItem[item:1368, value:5.451907]
12,RecommendedItem[item:1449, value:5.4133096]
12,RecommendedItem[item:1643, value:5.387804]
12,RecommendedItem[item:1612, value:5.3422003]
12,RecommendedItem[item:1080, value:5.303684]
12,RecommendedItem[item:1367, value:5.2913775]
13,RecommendedItem[item:1500, value:5.151465]
13,RecommendedItem[item:1642, value:4.868019]
13,RecommendedItem[item:1449, value:4.866429]
13,RecommendedItem[item:1398, value:4.7403417]
13,RecommendedItem[item:1467, value:4.6886673]
13,RecommendedItem[item:1367, value:4.5922756]
13,RecommendedItem[item:1064, value:4.4532766]
13,RecommendedItem[item:1524, value:4.426076]
13,RecommendedItem[item:114, value:4.422187]
13,RecommendedItem[item:1639, value:4.416431]
14,RecommendedItem[item:1500, value:5.7599263]
14,RecommendedItem[item:1642, value:5.2075553]
14,RecommendedItem[item:1449, value:5.064651]
14,RecommendedItem[item:1643, value:4.994553]
14,RecommendedItem[item:1467, value:4.9648943]
14,RecommendedItem[item:1367, value:4.893323]
14,RecommendedItem[item:1639, value:4.8032246]
14,RecommendedItem[item:1368, value:4.7303543]
14,RecommendedItem[item:1398, value:4.696133]
14,RecommendedItem[item:114, value:4.669673]
15,RecommendedItem[item:1500, value:6.0]
15,RecommendedItem[item:1642, value:4.700796]
15,RecommendedItem[item:1449, value:4.329667]
15,RecommendedItem[item:1467, value:4.295637]
15,RecommendedItem[item:1463, value:4.215414]
15,RecommendedItem[item:1541, value:4.120664]
15,RecommendedItem[item:1293, value:4.037118]
